PERIODO,VALOR,TIPO DATO,NOTA;;;;;
2016,105,114,Definitivo;;;;;
2016,104,495,Definitivo;;;;;
2016,104,118,Definitivo;;;;;
2016,102,941,Definitivo;;;;;
2016,102,936,Definitivo;;;;;
2016,102,804,Definitivo;;;;;
2016,103,558,Definitivo;;;;;
2016,103,080,Definitivo;;;;;
2016,102,521,Definitivo;;;;;
2016,101,807,Definitivo;;;;;
2016,101,158,Definitivo;;;;;
2016,101,516,Definitivo;;;;;
2015,103,490,Definitivo;;;;;
2015,103,794,Definitivo;;;;;
2015,103,415,Definitivo;;;;;
2015,102,758,Definitivo;;;;;
2015,103,074,Definitivo;;;;;
2015,103,418,Definitivo;;;;;
2015,104,387,Definitivo;;;;;
2015,104,109,Definitivo;;;;;
2015,103,614,Definitivo;;;;;
2015,102,670,Definitivo;;;;;
2015,102,019,Definitivo;;;;;
2015,101,810,Definitivo;;;;;
2014,103,472,Definitivo;;;;;
2014,104,079,Definitivo;;;;;
2014,104,152,Definitivo;;;;;
2014,103,668,Definitivo;;;;;
2014,103,511,Definitivo;;;;;
2014,103,348,Definitivo;;;;;
2014,104,329,Definitivo;;;;;
2014,104,299,Definitivo;;;;;
2014,104,276,Definitivo;;;;;
2014,103,356,Definitivo;;;;;
2014,103,126,Definitivo;;;;;
2014,103,171,Definitivo;;;;;
2013,104,562,Definitivo;;;;;
2013,104,468,Definitivo;;;;;
2013,104,251,Definitivo;;;;;
2013,103,829,Definitivo;;;;;
2013,104,023,Definitivo;;;;;
2013,103,701,Definitivo;;;;;
2013,104,239,Definitivo;;;;;
2013,104,085,Definitivo;;;;;
2013,103,894,Definitivo;;;;;
2013,103,507,Definitivo;;;;;
2013,103,144,Definitivo;;;;;
2013,102,966,Definitivo;;;;;
2012,104,298,Definitivo;;;;;
2012,104,225,Definitivo;;;;;
2012,104,355,Definitivo;;;;;
2012,103,475,Definitivo;;;;;
2012,102,467,Definitivo;;;;;
2012,101,893,Definitivo;;;;;
2012,102,132,Definitivo;;;;;
2012,102,323,Definitivo;;;;;
2012,102,474,Definitivo;;;;;
2012,101,055,Definitivo;;;;;
2012,100,380,Definitivo;;;;;
2012,100,275,Definitivo;;;;;
2011,101,391,Definitivo;;;;;
2011,101,259,Definitivo;;;;;
2011,100,850,Definitivo;;;;;
2011,100,061,Definitivo;;;;;
2011,99,817,Definitivo;;;;;
2011,99,693,Definitivo;;;;;
2011,100,232,Definitivo;;;;;
2011,100,373,Definitivo;;;;;
2011,100,406,Definitivo;;;;;
2011,99,172,Definitivo;;;;;
2011,98,436,Definitivo;;;;;
2011,98,311,Definitivo;;;;;
2010,99,036,Definitivo;;;;;
2010,98,431,Definitivo;;;;;
2010,97,900,Definitivo;;;;;
2010,97,013,Definitivo;;;;;
2010,96,946,Definitivo;;;;;
2010,96,703,Definitivo;;;;;
2010,97,138,Definitivo;;;;;
2010,96,965,Definitivo;;;;;
2010,96,749,Definitivo;;;;;
2010,95,730,Definitivo;;;;;
2010,95,025,Definitivo;;;;;
2010,95,198,Definitivo;;;;;
2009,96,163,Definitivo;;;;;
2009,96,188,Definitivo;;;;;
2009,95,669,Definitivo;;;;;
2009,94,992,Definitivo;;;;;
2009,95,216,Definitivo;;;;;
2009,94,885,Definitivo;;;;;
2009,95,702,Definitivo;;;;;
2009,95,283,Definitivo;;;;;
2009,95,316,Definitivo;;;;;
2009,94,394,Definitivo;;;;;
2009,94,239,Definitivo;;;;;
2009,94,229,Definitivo;;;;;
2008,95,405,Definitivo;;;;;
2008,95,897,Definitivo;;;;;
2008,96,306,Definitivo;;;;;
2008,95,976,Definitivo;;;;;
2008,95,995,Definitivo;;;;;
2008,96,202,Definitivo;;;;;
2008,96,666,Definitivo;;;;;
2008,96,113,Definitivo;;;;;
2008,95,468,Definitivo;;;;;
2008,94,451,Definitivo;;;;;
2008,93,621,Definitivo;;;;;
2008,93,475,Definitivo;;;;;
2007,94,057,Definitivo;;;;;
2007,93,665,Definitivo;;;;;
2007,92,998,Definitivo;;;;;
2007,91,808,Definitivo;;;;;
2007,91,508,Definitivo;;;;;
2007,91,383,Definitivo;;;;;
2007,92,052,Definitivo;;;;;
2007,91,883,Definitivo;;;;;
2007,91,631,Definitivo;;;;;
2007,90,383,Definitivo;;;;;
2007,89,703,Definitivo;;;;;
2007,89,642,Definitivo;;;;;
2006,90,248,Definitivo;;;;;
2006,90,002,Definitivo;;;;;
2006,89,780,Definitivo;;;;;
2006,89,413,Definitivo;;;;;
2006,89,560,Definitivo;;;;;
2006,89,377,Definitivo;;;;;
2006,89,913,Definitivo;;;;;
2006,89,776,Definitivo;;;;;
2006,89,454,Definitivo;;;;;
2006,88,210,Definitivo;;;;;
2006,87,590,Definitivo;;;;;
2006,87,548,Definitivo;;;;;
2005,87,904,Definitivo;;;;;
2005,87,716,Definitivo;;;;;
2005,87,584,Definitivo;;;;;
2005,86,877,Definitivo;;;;;
2005,86,346,Definitivo;;;;;
2005,85,969,Definitivo;;;;;
2005,86,498,Definitivo;;;;;
2005,86,297,Definitivo;;;;;
2005,86,132,Definitivo;;;;;
2005,84,909,Definitivo;;;;;
2005,84,243,Definitivo;;;;;
2005,84,025,Definitivo;;;;;
2004,84,739,Definitivo;;;;;
2004,84,822,Definitivo;;;;;
2004,84,610,Definitivo;;;;;
2004,83,750,Definitivo;;;;;
2004,83,600,Definitivo;;;;;
2004,83,233,Definitivo;;;;;
2004,83,869,Definitivo;;;;;
2004,83,736,Definitivo;;;;;
2004,83,245,Definitivo;;;;;
2004,82,121,Definitivo;;;;;
2004,81,551,Definitivo;;;;;
2004,81,514,Definitivo;;;;;
2003,82,090,Definitivo;;;;;
2003,81,949,Definitivo;;;;;
2003,81,683,Definitivo;;;;;
2003,81,136,Definitivo;;;;;
2003,80,895,Definitivo;;;;;
2003,80,525,Definitivo;;;;;
2003,81,033,Definitivo;;;;;
2003,80,980,Definitivo;;;;;
2003,81,055,Definitivo;;;;;
2003,80,401,Definitivo;;;;;
2003,79,847,Definitivo;;;;;
2003,79,677,Definitivo;;;;;
2002,80,007,Definitivo;;;;;
2002,79,742,Definitivo;;;;;
2002,79,618,Definitivo;;;;;
2002,78,838,Definitivo;;;;;
2002,78,544,Definitivo;;;;;
2002,78,319,Definitivo;;;;;
2002,78,867,Definitivo;;;;;
2002,78,863,Definitivo;;;;;
2002,78,580,Definitivo;;;;;
2002,77,528,Definitivo;;;;;
2002,76,892,Definitivo;;;;;
2002,76,826,Definitivo;;;;;
